frequency_Hz	Impedance_real	Impedance_imag
267000000.0	67.94	-217.5
268000000.0	67.31	-216.31
269000000.0	66.216	-215.06
270000000.0	65.584	-213.54
271000000.0	64.877	-212.28
272000000.0	63.893	-210.78
273000000.0	63.306	-209.5
274000000.0	62.675	-208.11
275000000.0	61.585	-207.05
276000000.0	61.274	-205.98
277000000.0	60.893	-204.93
278000000.0	60.162	-203.75
279000000.0	59.491	-202.39
280000000.0	58.785	-201.23
281000000.0	58.037	-200.33
282000000.0	57.763	-199.1
283000000.0	57.082	-197.79
284000000.0	56.345	-196.7
285000000.0	55.75	-195.54
286000000.0	55.49	-194.62
287000000.0	54.995	-193.59
288000000.0	54.358	-192.45
289000000.0	53.946	-191.27
290000000.0	53.429	-190.25
291000000.0	52.941	-189.14
292000000.0	52.774	-188.19
293000000.0	52.502	-187.32
294000000.0	52.019	-186.36
295000000.0	51.827	-185.47
296000000.0	51.392	-184.55
297000000.0	50.93	-183.64
298000000.0	50.507	-182.67
299000000.0	50.048	-181.69
300000000.0	49.391	-180.64
301000000.0	48.997	-179.7
302000000.0	48.551	-178.69
303000000.0	48.098	-177.85
304000000.0	47.737	-176.85
305000000.0	47.302	-175.93
306000000.0	46.857	-174.99
307000000.0	46.454	-174.01
308000000.0	46.187	-173.1
309000000.0	45.907	-172.37
310000000.0	45.59	-171.47
311000000.0	45.215	-170.71
312000000.0	44.848	-170.01
313000000.0	44.296	-169.24
314000000.0	43.968	-168.56
315000000.0	43.492	-167.7
316000000.0	43.203	-166.91
317000000.0	42.812	-166.24
318000000.0	42.453	-165.32
319000000.0	42.256	-164.43
320000000.0	42.245	-163.79
321000000.0	41.847	-163.03
322000000.0	41.537	-162.33
323000000.0	41.211	-161.44
324000000.0	40.928	-160.64
325000000.0	40.545	-159.95
326000000.0	40.022	-159.18
327000000.0	39.594	-158.33
328000000.0	39.436	-157.57
329000000.0	39.083	-156.85
330000000.0	38.585	-155.97
331000000.0	38.308	-155.22
332000000.0	38.104	-154.41
333000000.0	37.944	-153.69
334000000.0	37.686	-152.85
335000000.0	37.312	-152.05
336000000.0	37.102	-151.4
337000000.0	37.074	-150.78
338000000.0	36.776	-149.94
339000000.0	36.544	-149.26
340000000.0	36.359	-148.6
341000000.0	36.08	-147.97
342000000.0	35.99	-147.3
343000000.0	35.746	-146.63
344000000.0	35.507	-145.93
345000000.0	35.38	-145.39
346000000.0	35.17	-144.62
347000000.0	34.934	-143.98
348000000.0	34.799	-143.29
349000000.0	34.627	-142.76
350000000.0	34.442	-142.15
351000000.0	34.097	-141.54
352000000.0	33.835	-140.87
353000000.0	33.512	-140.46
354000000.0	33.297	-139.72
355000000.0	32.991	-139.29
356000000.0	32.688	-138.53
357000000.0	32.479	-137.92
358000000.0	32.298	-137.37
359000000.0	32.054	-136.76
360000000.0	31.97	-136.07
361000000.0	31.669	-135.6
362000000.0	31.519	-134.87
363000000.0	31.281	-134.45
364000000.0	31.115	-133.84
365000000.0	30.888	-133.34
366000000.0	30.746	-132.8
367000000.0	30.581	-132.2
368000000.0	30.414	-131.7
369000000.0	30.129	-131.1
370000000.0	30.007	-130.48
371000000.0	29.826	-129.88
372000000.0	29.702	-129.29
373000000.0	29.507	-128.72
374000000.0	29.274	-128.22
375000000.0	29.115	-127.6
376000000.0	28.968	-127.13
377000000.0	28.758	-126.62
378000000.0	28.543	-126.12
379000000.0	28.386	-125.6
380000000.0	28.211	-125.14
381000000.0	28.065	-124.65
382000000.0	27.857	-124.23
383000000.0	27.758	-123.82
384000000.0	27.619	-123.41
385000000.0	27.564	-122.98
386000000.0	27.532	-122.53
387000000.0	27.377	-122.06
388000000.0	27.215	-121.69
389000000.0	27.072	-121.15
390000000.0	26.882	-120.59
391000000.0	26.655	-120.07
392000000.0	26.442	-119.52
393000000.0	26.172	-119.02
394000000.0	25.979	-118.44
395000000.0	25.805	-117.82
396000000.0	25.732	-117.32
397000000.0	25.542	-116.85
398000000.0	25.435	-116.32
399000000.0	25.251	-115.89
400000000.0	24.992	-115.5
401000000.0	24.86	-115.1
402000000.0	24.668	-114.68
403000000.0	24.544	-114.24
404000000.0	24.343	-113.81
405000000.0	24.136	-113.33
406000000.0	23.995	-112.84
407000000.0	23.9	-112.27
408000000.0	23.732	-111.82
409000000.0	23.654	-111.39
410000000.0	23.413	-110.92
411000000.0	23.39	-110.41
412000000.0	23.214	-109.92
413000000.0	23.097	-109.4
414000000.0	22.958	-108.96
415000000.0	22.836	-108.51
416000000.0	22.7	-108.03
417000000.0	22.618	-107.6
418000000.0	22.428	-107.26
419000000.0	22.419	-106.93
420000000.0	22.344	-106.53
421000000.0	22.267	-106.2
422000000.0	22.137	-105.8
423000000.0	22.05	-105.3
424000000.0	21.98	-104.92
425000000.0	21.851	-104.54
426000000.0	21.762	-104.11
427000000.0	21.648	-103.81
428000000.0	21.493	-103.38
429000000.0	21.433	-102.92
430000000.0	21.34	-102.64
431000000.0	21.154	-102.32
432000000.0	20.983	-101.8
433000000.0	20.861	-101.37
434000000.0	20.606	-101.01
435000000.0	20.523	-100.61
436000000.0	20.314	-100.25
437000000.0	20.112	-99.741
438000000.0	19.995	-99.266
439000000.0	19.955	-98.997
440000000.0	19.758	-98.615
441000000.0	19.688	-98.133
442000000.0	19.582	-97.774
443000000.0	19.581	-97.42
444000000.0	19.475	-97.13
445000000.0	19.387	-96.75
446000000.0	19.285	-96.317
447000000.0	19.257	-95.976
448000000.0	19.19	-95.605
449000000.0	19.042	-95.164
450000000.0	18.918	-94.76
451000000.0	18.813	-94.341
452000000.0	18.675	-93.897
453000000.0	18.573	-93.465
454000000.0	18.45	-93.078
455000000.0	18.416	-92.723
456000000.0	18.373	-92.336
457000000.0	18.222	-91.964
458000000.0	18.151	-91.644
459000000.0	18.142	-91.32
460000000.0	18.12	-90.964
461000000.0	18.066	-90.571
462000000.0	17.921	-90.204
463000000.0	17.831	-89.837
464000000.0	17.799	-89.529
465000000.0	17.705	-89.176
466000000.0	17.555	-88.883
467000000.0	17.417	-88.52
468000000.0	17.354	-88.098
469000000.0	17.344	-87.786
470000000.0	17.25	-87.435
471000000.0	17.144	-87.005
472000000.0	17.013	-86.724
473000000.0	16.952	-86.38
474000000.0	16.872	-86.119
