names,numbers,x,y,z
HexE18,1018,-284.14292438235134,357.6923059867695,52.382268785033375
HexE19,1019,-309.0830096914433,344.93223231472075,52.487865515984595
HexE20,1020,-321.5207421113737,338.53911260329187,52.52753425389528
HexE21,1021,-333.96384691866115,332.1099034799263,52.61915192659944
HexE22,1022,-262.99410828063264,362.35611388552934,41.479498935863376
HexE23,1023,-275.44021014822647,355.9863396473229,41.52805256191641
HexE24,1024,-287.92666711006314,349.6033349344507,41.589113023132086
HexE25,1025,-300.3595312591642,343.2361689992249,41.623811702243984
HexE26,1026,-312.8122848519124,336.8061180971563,41.71586795290932
HexE27,1027,-325.2628876045346,330.4230257710442,41.74700404284522
HexE28,1028,-266.7751420517452,354.26397767756134,30.67830306617543
HexE29,1029,-279.2093395451084,347.897238323465,30.748329357709736
HexE30,1030,-291.6788887172006,341.50062413234264,30.779026869218796
HexE31,1031,-304.1329538556747,335.0709564136341,30.88628617953509
HexE32,1032,-316.5873873257078,328.719996612519,30.926740339957178
HexE33,1033,-270.5250004050322,346.1610177932307,19.892369613517076
HexE34,1034,-282.9824507627636,339.7670513940975,19.950354629661888
HexE35,1035,-295.43166276672855,333.3722789725289,20.030711052473634
HexE36,1036,-307.8832460111007,327.00227784737945,20.08820352796465
HexS01,1037,-174.0279215555638,368.70058267284185,-27.65460446011275
HexS02,1038,-186.47855821764097,362.3175578545779,-27.59216350968927
HexS03,1039,-198.94328914675862,355.90689579118043,-27.54398910421878
HexS04,1040,-211.40134292189032,349.5386369926855,-27.490979543421417
HexS05,1041,-165.32003361405805,367.02218989189714,-38.52676313603297
HexS06,1042,-177.7895019534044,360.594224922359,-38.44501543138176
HexS07,1043,-190.26304661342874,354.2211598949507,-38.40229822928086
HexS08,1044,-202.69203051086515,347.81953497510403,-38.32101068785414
HexS09,1045,-215.1626115264371,341.42943067569286,-38.28227846464142
HexS10,1046,-156.6573540903628,365.26670970767736,-49.33530003018677
HexS11,1047,-169.0843771211803,358.8544975453988,-49.27679549343884
HexS12,1048,-181.5473907138221,352.5027963137254,-49.212199423927814
HexS13,1049,-193.97939918003976,346.09605348389596,-49.166234099306166
HexS14,1050,-206.46387601457536,339.71801811270416,-49.11591536691412
